pa_id,name,type,type_group,iucn_category,state,governance,environment,area_ha,area_km2,longitude,latitude,gaz_year,is_indigenous
TAS_20098,Waterview Hill,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.95,0.15,147.38439483,-43.10466152,2008,False
TAS_14028,Whalebone Way - Lighthouse Road,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.95,0.15,147.22509983,-43.39521926,2015,False
TAS_10907,Boobyalla Park,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.93,0.15,147.91458341,-40.93279014,2010,False
WA_54369,Collie River,Conservation Park,Conservation park/reserve,II,WA,G,T,14.93,0.15,115.70105696,-33.30761551,2023,False
VIC_794,Crow Swamp (Phillips Dam) W.R,Natural Features Reserve,Nature reserve,VI,VIC,G,T,14.92,0.15,142.10775145,-36.18801252,1987,False
TAS_20732,Yarraman,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.9,0.15,147.44895411,-42.57805849,2002,False
VIC_1402,Murmungee H37 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.89,0.15,147.12494148,-36.67335793,1979,False
TAS_20450,Valleyfield,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.88,0.15,147.32564076,-41.80950091,2003,False
VIC_723,Greens Swamp W.R,Natural Features Reserve,Nature reserve,VI,VIC,G,T,14.87,0.15,141.77703046,-36.9988957,1983,False
SA_714,Unnamed (No.HA714),Heritage Agreement,Private or covenant,III,SA,P,T,14.86,0.15,138.60302493,-35.1050103,1992,False
QLD_NR233,New Glenrock,Nature Refuge,Other,VI,QLD,P,T,14.86,0.15,145.69169486,-17.3955918,2007,False
TAS_22626,Marchwiel #5,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.82,0.15,147.8877997,-42.7561001,2000,False
TAS_14388,Lake Echo - Womans Creek,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.82,0.15,146.72812133,-42.15563212,2024,False
VIC_1204,Turoar South B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.82,0.15,143.00073866,-35.21010455,1979,False
VIC_1295,Panitya B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.82,0.15,141.00096546,-35.23415376,1990,False
VIC_2264,Swanwater B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.81,0.15,143.15495392,-36.50055657,1982,False
VIC_2385,Leichardt B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.8,0.15,144.12458735,-36.62713875,1982,False
NT_PA59,Finke Gorge,National Park,National park,V,NT,J,T,14.8,0.15,132.77016229,-24.05865479,1966,False
VIC_3661,Flannagan Island G.L.R.,Natural Features Reserve,Nature reserve,VI,VIC,G,T,14.8,0.15,147.91622173,-37.88675776,1984,False
WA_06268,Unnamed WA06268,Nature Reserve,Nature reserve,Ia,WA,G,T,14.78,0.15,115.94345907,-32.72349284,1898,False
TAS_50745,Pasco Group,Conservation Area,Conservation park/reserve,V,TAS,G,B,14.78,0.15,147.77501914,-39.94250595,2011,False
VIC_4897,Yarrawalla N.C.R.,Natural Features Reserve,Nature reserve,Ia,VIC,G,T,14.77,0.15,143.9932256,-36.10618603,2010,False
TAS_10828,Toxteth Park #8,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.74,0.15,148.23994869,-41.83319872,2003,False
VIC_2768,Perts SS.R.,Natural Features Reserve,Nature reserve,III,VIC,G,T,14.74,0.15,145.45982284,-37.2681522,1979,False
SA_1384,Unnamed (No.HA1384),Heritage Agreement,Private or covenant,III,SA,P,T,14.7,0.15,138.53566149,-35.39169535,2007,False
TAS_10029,Oakdens Rd Sandfly,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.69,0.15,147.16177256,-42.99488076,2002,False
WA_46984,Unnamed WA46984,5(1)(h) Reserve,Other,VI,WA,G,T,14.69,0.15,115.00062421,-29.82915987,2002,False
VIC_1239,Double Yards B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.66,0.15,142.5587526,-35.63783614,1979,False
VIC_2324,Inkerman Lead B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.66,0.15,143.69614811,-37.04705831,1982,False
VIC_1125,Underbool I71 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.65,0.15,141.70357013,-35.15642909,1979,False
TAS_10800,Lake Echo - Wild Cattle Hill,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.65,0.15,146.74838903,-42.1478004,2009,False
NSW_FR34,Sandgate,Flora Reserve,Other,Ia,NSW,G,T,14.64,0.15,148.16826674,-31.18718092,1977,False
VIC_3590,Big River,Heritage River,Other,V,VIC,G,T,14.62,0.15,146.05813069,-37.37052304,1992,False
QLD_NR359,Wurraglen,Nature Refuge,Other,VI,QLD,P,T,14.62,0.15,152.65185859,-26.32025225,2008,False
TAS_14130,Bluemans Run #1 and #7,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.62,0.15,147.98574952,-42.05642666,2016,False
SA_1503,Unnamed (No.HA1503),Heritage Agreement,Private or covenant,III,SA,P,T,14.62,0.15,138.73074617,-35.42449133,2012,False
TAS_50370,St Patricks Head,Private Nature Reserve,Nature reserve,IV,TAS,P,T,14.62,0.15,148.22573349,-41.56622499,2004,False
VIC_2085,Baddaginnie N.C.R.,Natural Features Reserve,Nature reserve,Ia,VIC,G,T,14.61,0.15,145.80410739,-36.564526,1986,False
TAS_50842,Tyenna River,Conservation Area,Conservation park/reserve,V,TAS,G,T,14.6,0.15,146.60912003,-42.74378892,2013,False
QLD_0579WRR001,Warrina,Conservation Park,Conservation park/reserve,III,QLD,G,T,14.6,0.15,146.01925719,-17.51580748,1990,False
TAS_13521,Millvale Rd Dromedary,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.59,0.15,147.16350243,-42.71620557,2010,False
