environment,epbc_status,record_count,protected_record_count,indigenous_protected_record_count,species_count,unprotected_record_count,protected_pct,indigenous_protected_pct,status_order
marine,Extinct,22,4,0,7,18,18.2,0.0,0
marine,Critically Endangered,1396,210,2,35,1186,15.0,0.1,2
marine,Endangered,26909,10475,483,135,16434,38.9,1.8,3
marine,Vulnerable,105464,74256,2906,165,31208,70.4,2.8,4
marine,Conservation Dependent,11911,1382,21,7,10529,11.6,0.2,5
marine,Not listed,5572419,2826310,96979,45035,2746109,50.7,1.7,6
